id;sentence;phrase;target
968;наша компания выпустила новый гаджет на рынок;устройство;гаджет
969;он работает в айти компании уже пять лет;информационные технологии;айти
970;мой универ находится в центре города;учебное заведение;универ
971;мы заказали пиццу на вечер с друзьями;итальянское блюдо;пиццу
972;он занимается спортом каждый день для здоровья;физическая активность;спортом
973;я купил акции газпрома на бирже;ценные бумаги;акции
974;она посмотрела новый видос на ютубе;видеоролик;видос
975;этот чел очень умный и начитанный;человек;чел
976;мы едем на дачу на все выходные отдохнуть;загородный дом;дачу
977;он получил зарплату на карту вовремя;денежное вознаграждение;зарплату
978;в городе построили новый мост через реку;инженерное сооружение;мост
979;она любит слушать классическую музыку в тишине;мелодии;музыку
980;в лесу поют птички очень красиво по утрам;пернатые создания;птички
981;он ест вкусный бутер с колбасой на завтрак;бутерброд;бутер
982;это было обидное поражение для нашей команды;проигрыш;поражение
983;он купил подарок для своей девушки на праздник;презент;подарок
984;я отправил важное сообщение другу по почте;электронное письмо;сообщение
985;вчера была сильная гроза с молниями и градом;непогода;гроза
986;он известный актер театра и кино в стране;артист;актер
987;мы гуляли по центральной площади города вечером;главное место;площади
988;она написала заявление на отпуск на две недели;официальный документ;заявление
989;ребенок получил новую игрушку в подарок от родителей;детская забава;игрушку
990;полицейский остановил нарушителя на дороге за превышение;сотрудник полиции;полицейский
991;вратарь спас команду от верного гола в матче;голкипер;вратарь
992;в магазине продаются свежие фруктики и ягоды;фрукты;фруктики
993;он живет в небольшой деревушке у реки с семьей;деревня;деревушке
994;мы смотрели интересный документальный фильмец о природе;фильм;фильмец
995;на столе стоял кувшин с водичкой для питья;вода;водичкой
996;малыш радостно смеялся новой погремушке;младенец;малыш
997;этот регион славится своими винами и кухней;область;регион
998;он починил свой старый мобильник в мастерской;сотовый телефон;мобильник
999;она испекла вкусный тортик на праздник для гостей;торт;тортик
